ativo;ret_medio;ret_mediano;ret_sd;ret_min;ret_max;volume_medio;volume_mediano;volume_sd;volume_min;volume_max;value_medio;value_mediano;value_sd;value_min;value_max
ABEV3;1,1026266061610686e-4;0;0,013917547975855994;-0,0580936401;0,1069910394;11,80187201823046;12,248180985290443;1,1642773095226293;8,426173793029069;14,24035140487907;62,095596755504054;62;13,461210543478263;27;100
B3SA3;5,001808834232919e-4;0;0,021212828285449913;-0,08816503554;0,0963918457;12,121997990810605;12,111335997709356;0,5045638987082861;9,580868910203451;14,044973301063031;4,830822711471611;0;14,985260395463767;0;100
BBDC4;3,7921553157891025e-4;2,2271128855e-4;0,020131529359666177;-0,1405579306;0,1224618277;12,70433560397126;12,697363602182659;0,40930795702204836;10,260602399703245;14,23796846714871;35,61413673232909;34;22,342174521648207;0;100
BBAS3;4,0681062240614194e-4;4,3405279195000003e-4;0,027215582661587842;-0,2378914079;0,1342911924;12,363703953018128;12,340345634651705;0,5072002183108593;10,08759917287658;14,343289459364852;43,18539976825029;39;20,494307050795026;0;100
ITSA4;3,6387919426877154e-4;0;0,018912991642113738;-0,1012862932;0,0977578761;12,050972502481766;12,040330879474748;0,40823608851010906;9,9813740911932;13,608820895921745;69,50463499420626;70;11,440468798544124;30;100
ITUB4;4,1116004419300113e-4;5,23713733e-4;0,01914231638444654;-0,128363796;0,1036835071;13,06832593700247;13,051449351085953;0,41937359787478234;10,836123962946369;14,985377824293492;32,41193511008111;33;21,167381443643766;0;100
PETR3;-1,5931007014681435e-4;-3,397498723e-4;0,03077656753058353;-0,1615385762;0,149662342;12,184173133608938;12,164078029606745;0,5706252277863039;9,53575166123797;14,440184553405484;36,70278099652376;34;20,313292951228867;0;100
PETR4;-1,3617605526245748e-4;4,3293127575e-4;0,031205387378988123;-0,171489976;0,1508582873;13,514084831832323;13,466384180052007;0,5119084579807628;11,413326099747474;15,442380053695908;40,56431054461182;39;18,667251981447844;0;100
VALE3;5,1160382075955596e-5;-1,090631483e-4;0,02739996572381991;-0,1567136885;0,1376847974;12,361963874920544;12,207564032482018;0,7848846503521328;9,752664662801545;14,905200830215984;73,81228273464659;78;13,456385362272655;38;100
IBOV;-6,049222663064609e-6;-9,1895098875e-5;0,014379188269827335;-0,0921068469;0,06386701252;15,93676935145327;15,924997716071701;0,31774036270964245;14,178044504377631;17,329810766095914;31,760139049826186;32;19,342357177915137;0;100
